BOROUGH,NEIGHBORHOOD,TAX CLASS AT PRESENT,BLOCK,BUILDING CLASS AT PRESENT,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
3,GRAVESEND,1,6890,B,11214,2,0,2,2051,2698,1965,1,B,1200000,2016-10-28
4,JAMAICA ESTATES,1,7229,A,11432,1,0,1,7540,1872,1940,1,A,1300000,2017-01-05
3,FLATBUSH-EAST,1,7788,A,11210,1,0,1,2000,1326,1925,1,A,550000,2017-06-30
3,CYPRESS HILLS,1,4106,B,11208,2,0,2,2552,1760,1930,1,B,175000,2017-04-21
3,PARK SLOPE,2A,1067,C,11215,5,0,5,2083,3916,1920,2,C,2200000,2017-02-02
3,GERRITSEN BEACH,1,8866,A,11229,1,0,1,3600,1219,1920,1,A,500000,2017-06-21
4,CORONA,1,1903,A,11368,1,0,1,2000,1332,1965,1,A,812000,2017-02-16
2,KINGSBRIDGE/JEROME PARK,1,3249,B,10468,2,0,2,1000,1600,2006,1,B,510000,2017-07-12
4,JACKSON HEIGHTS,1,1367,B,11369,2,0,2,4125,1620,1920,1,B,565000,2016-12-15
2,SOUNDVIEW,2A,3743,C,10472,4,0,4,2458,2747,1926,2,C,535339,2017-06-02
3,CROWN HEIGHTS,1,1132,C,11238,3,0,3,2072,2736,1910,1,C,990000,2017-06-19
4,JAMAICA,1,9679,C,11435,3,0,3,2560,2600,1940,1,C,740000,2016-10-13
3,CROWN HEIGHTS,2A,1381,C,11233,4,0,4,2255,3542,1906,2,C,925000,2017-07-19
5,NEW SPRINGVILLE,1,2389,A,10314,1,0,1,3105,1362,1980,1,A,222500,2017-05-05
2,BAYCHESTER,1,4958,C,10466,3,0,3,3750,3173,2008,1,C,600000,2017-02-02
3,CROWN HEIGHTS,1,1282,B,11225,2,0,2,2832,2656,1901,1,B,1540000,2016-12-13
3,GRAVESEND,1,6624,A,11223,1,0,1,1150,1020,1930,1,A,628000,2017-01-23
4,RICHMOND HILL,1,9297,A,11418,1,0,1,2685,1248,1920,1,A,400000,2017-01-31
3,FLATBUSH-CENTRAL,1,5087,A,11226,1,0,1,1512,1080,1930,1,A,490000,2017-02-06
2,THROGS NECK,1,5501,B,10465,2,0,2,2500,1772,1960,1,B,420000,2017-07-27
4,SO. JAMAICA-BAISLEY PARK,1,12342,A,11434,1,0,1,2800,1105,1930,1,A,425000,2016-12-06
3,OLD MILL BASIN,1,8408,A,11234,1,0,1,2000,1244,1930,1,A,530000,2016-09-02
2,THROGS NECK,1,5589,A,10465,1,0,1,2069,1589,1955,1,A,435000,2017-08-16
3,SUNSET PARK,1,719,C,11232,3,0,3,1803,2430,1910,1,C,980000,2017-06-30
4,QUEENS VILLAGE,1,10795,A,11429,1,0,1,4000,1482,1930,1,A,469000,2017-05-25
4,OAKLAND GARDENS,1,7617,A,11364,1,0,1,2642,1152,1950,1,A,750000,2017-05-30
3,BEDFORD STUYVESANT,4,1586,E,11206,0,1,1,5000,7400,1917,4,E,4500000,2017-04-06
5,WESTERLEIGH,1,1435,A,10302,1,0,1,3420,1948,1930,1,A,522000,2016-10-27
4,MIDDLE VILLAGE,1,2983,B,11379,2,0,2,3600,2560,1945,1,B,1600000,2016-12-09
3,BENSONHURST,1,5562,B,11204,2,0,2,1667,2554,1925,1,B,1103800,2017-01-11
5,SOUTH BEACH,1,3390,A,10305,1,0,1,2040,756,1987,1,A,290000,2016-09-22
4,HOLLIS,1,10846,A,11423,1,0,1,2700,1669,1940,1,A,450000,2017-04-07
4,HOWARD BEACH,1,14067,A,11414,1,0,1,4000,2096,1965,1,A,715000,2016-09-08
5,HUGUENOT,1,6324,A,10312,1,0,1,5500,3872,2016,1,V,470000,2016-11-21
4,CORONA,1,1972,A,11368,1,0,1,1800,1682,1950,1,A,650000,2017-04-28
5,ROSEBANK,1,2997,A,10305,1,0,1,4000,1050,1965,1,A,375000,2017-03-03
2,CASTLE HILL/UNIONPORT,1,3575,B,10473,2,0,2,2842,2810,1960,1,B,351100,2016-09-29
3,FLATBUSH-NORTH,1,4849,B,11203,2,0,2,1815,2216,1945,1,B,325000,2017-03-28
5,GREAT KILLS,1,4579,A,10308,1,0,1,2555,1536,1998,1,A,250000,2017-07-27
4,RIDGEWOOD,1,3602,A,11379,1,0,1,2585,1120,1925,1,A,300000,2017-06-15
3,SUNSET PARK,1,922,B,11232,2,0,2,2504,1720,1899,1,B,1100000,2016-12-19
4,COLLEGE POINT,1,4164,B,11356,2,0,2,2500,1716,1920,1,B,750000,2016-12-01
3,EAST NEW YORK,1,4382,B,11208,2,0,2,2650,2640,1930,1,B,764000,2017-04-07
4,JACKSON HEIGHTS,1,1413,B,11370,2,0,2,2200,1496,1930,1,B,540500,2016-09-16
3,BEDFORD STUYVESANT,1,1591,C,11206,3,0,3,1600,2160,1899,1,C,66666,2017-03-02
4,SOUTH JAMAICA,1,11926,A,11435,1,0,1,3003,980,1930,1,A,315000,2017-06-30
4,SPRINGFIELD GARDENS,1,13286,A,11434,1,0,1,5000,1170,1950,1,A,325000,2017-02-06
1,HARLEM-UPPER,2A,2073,C,10031,4,0,4,1599,3604,1920,2,C,1320000,2017-06-15
5,TOMPKINSVILLE,1,114,B,10301,2,0,2,3193,2340,1901,1,B,410000,2017-07-13
5,STAPLETON,1,544,C,10304,3,0,3,3750,1860,1920,1,C,195094,2016-09-23
4,SO. JAMAICA-BAISLEY PARK,1,12369,A,11434,1,0,1,3000,1260,1920,1,A,475000,2017-05-31
4,SOUTH JAMAICA,1,10241,A,11433,1,0,1,2300,1072,1920,1,A,471000,2017-06-23
4,HOWARD BEACH,1,14244,A,11414,1,0,1,1920,608,1920,1,A,111300,2017-07-19
3,WILLIAMSBURG-CENTRAL,2,2220,C,11211,10,2,12,4100,6930,1931,2,C,3500000,2017-02-27
5,CONCORD,1,2879,A,10304,1,0,1,1167,1066,2004,1,A,345000,2017-06-07
4,ROSEDALE,1,13243,A,11422,1,0,1,4550,1170,1955,1,A,415000,2017-08-04
3,BEDFORD STUYVESANT,1,1770,B,11206,2,0,2,1875,2139,1915,1,B,900000,2017-05-04
5,CASTLETON CORNERS,1,377,A,10314,1,0,1,3500,1300,1964,1,A,500000,2017-02-28
2,MORRISANIA/LONGWOOD,1,2624,B,10455,2,0,2,2875,2925,2004,1,B,485000,2017-04-19
4,ASTORIA,1,712,C,11103,3,0,3,2117,3265,1976,1,C,1300000,2017-02-07
4,FLUSHING-SOUTH,1,6900,B,11365,2,0,2,4000,1070,1930,1,B,875000,2016-12-08
4,ASTORIA,2A,631,C,11103,5,0,5,2910,3040,1923,2,C,600000,2017-08-30
4,WOODHAVEN,1,8975,B,11421,2,0,2,3710,2080,2004,1,B,865000,2017-03-16
4,FAR ROCKAWAY,1,15588,A,11691,1,0,1,4872,1776,1965,1,A,765000,2016-11-10
3,OLD MILL BASIN,1,7879,A,11234,1,0,1,2000,1372,1925,1,A,485000,2017-01-26
4,ASTORIA,1,820,B,11105,2,0,2,2000,2072,1930,1,B,1210000,2017-01-11
3,EAST NEW YORK,1,3805,B,11207,2,0,2,3000,2240,1910,1,B,460000,2017-02-24
5,PORT RICHMOND,1,1116,B,10302,2,0,2,4217,2059,2015,1,B,491790,2016-09-27
4,FLUSHING-NORTH,1,5514,B,11358,2,0,2,3000,1760,1999,1,B,900000,2016-12-05
3,WILLIAMSBURG-CENTRAL,1,2218,B,11211,2,0,2,2042,2400,1899,1,B,1000,2017-01-30
5,WESTERLEIGH,1,1501,B,10314,2,0,2,4100,2340,1970,1,B,50000,2016-11-01
5,NEW DORP-BEACH,1,4046,B,10306,2,0,2,4300,2712,1973,1,B,640000,2016-09-15
3,CROWN HEIGHTS,1,1412,A,11213,1,0,1,2555,2028,1910,1,A,1275000,2016-11-21
3,CANARSIE,1,8171,B,11236,2,0,2,2858,3212,1999,1,B,675000,2016-09-07
4,BELLEROSE,1,8626,A,11426,1,0,1,4000,1080,1945,1,A,565000,2016-12-12
5,WEST NEW BRIGHTON,2A,134,C,10301,4,0,4,5250,4672,1925,2,C,50000,2016-09-23
2,PELHAM GARDENS,1,4489,A,10469,1,0,1,2492,1728,1965,1,A,473000,2017-05-15
4,ELMHURST,1,2492,A,11373,1,0,1,1842,1152,1945,1,A,760000,2017-07-20
4,BAYSIDE,1,7522,B,11364,2,0,2,3200,2712,1965,1,B,1120000,2017-07-27
4,JACKSON HEIGHTS,1,1366,B,11369,2,0,2,2300,1656,1930,1,B,783000,2017-04-26
3,GERRITSEN BEACH,1,8914,A,11229,1,0,1,1800,975,1925,1,A,150000,2017-05-18
3,CANARSIE,1,8198,A,11236,1,0,1,2000,1156,1915,1,A,200000,2016-10-26
4,QUEENS VILLAGE,1,10772,S,11429,2,1,3,1910,2200,1931,1,S,545000,2017-06-23
4,BEECHHURST,1,4545,A,11357,1,0,1,6000,2313,1975,1,A,1100000,2016-10-27
4,BAYSIDE,1,6303,A,11361,1,0,1,4000,2538,1910,1,A,870000,2016-11-08
2,SCHUYLERVILLE/PELHAM BAY,1,5339,A,10461,1,0,1,1658,933,1920,1,A,280000,2017-03-02
3,MIDWOOD,1,6765,C,11229,3,0,3,2000,3310,1975,1,C,995000,2016-12-29
3,GERRITSEN BEACH,1,8914,A,11229,1,0,1,1440,1216,1955,1,A,510000,2017-07-06
4,JACKSON HEIGHTS,1,1470,C,11372,3,0,3,2000,1920,1901,1,C,1215000,2017-07-10
4,SO. JAMAICA-BAISLEY PARK,1,12256,B,11434,2,0,2,2790,2112,1994,1,B,623000,2017-03-06
3,PARK SLOPE,2A,946,S,11217,3,1,4,1238,2972,1920,2,S,3577000,2017-06-28
2,MORRISANIA/LONGWOOD,1,2968,C,10459,3,0,3,1308,2790,2005,1,C,445000,2016-10-06
4,BELLEROSE,1,7998,A,11426,1,0,1,2600,1296,1925,1,A,299000,2016-11-04
2,MORRISANIA/LONGWOOD,1,2662,A,10456,1,0,1,1317,1224,1920,1,A,325300,2017-01-06
4,ROSEDALE,1,13563,A,11422,1,0,1,3000,944,1925,1,A,343000,2016-10-28
4,CAMBRIA HEIGHTS,1,12749,A,11411,1,0,1,1380,1944,1965,1,A,300000,2017-06-22
3,MILL BASIN,1,8639,B,11234,2,0,2,5033,2136,1965,1,B,870000,2017-08-28
3,BATH BEACH,1,6392,C,11228,3,0,3,2248,2970,1930,1,C,930000,2017-03-16
4,FOREST HILLS,1,3285,A,11375,1,0,1,1746,2160,1935,1,A,1700000,2017-07-10
4,RICHMOND HILL,1,9493,B,11419,2,0,2,6055,2857,1925,1,B,800000,2016-12-08
5,PORT IVORY,1,1277,B,10303,2,0,2,3400,1368,1910,1,B,530000,2017-07-19
5,ELTINGVILLE,1,5705,A,10312,1,0,1,4100,2112,1970,1,A,585000,2016-11-14
3,PROSPECT HEIGHTS,1,1137,A,11238,1,0,1,1491,2160,1915,1,A,1750000,2017-04-28
3,FLATBUSH-EAST,1,7745,A,11210,1,0,1,2000,1526,1930,1,A,565000,2017-05-18
4,ST. ALBANS,1,11045,A,11412,1,0,1,2000,1200,1945,1,A,452000,2017-05-24
4,FLUSHING-NORTH,1,5042,B,11355,2,0,2,2500,1872,1920,1,B,2000000,2016-11-03
3,GERRITSEN BEACH,1,8828,B,11229,2,0,2,1992,1606,1950,1,B,324000,2017-04-25
4,FLUSHING-NORTH,1,5569,A,11365,1,0,1,4000,945,1955,1,A,713800,2016-10-07
4,REGO PARK,1,3115,B,11374,2,0,2,5143,2444,1940,1,B,1348000,2016-10-27
4,RICHMOND HILL,1,9398,B,11419,2,0,2,2725,2120,1901,1,B,450000,2017-05-17
3,WILLIAMSBURG-EAST,1,2746,S,11211,2,1,3,1675,3500,1899,1,S,1900000,2016-09-06
3,FLATBUSH-EAST,1,7790,B,11210,2,0,2,2000,1500,1930,1,B,202500,2016-10-19
5,CASTLETON CORNERS,1,352,A,10310,1,0,1,3200,1184,1915,1,A,279500,2016-12-29
4,FLUSHING-SOUTH,1,6709,A,11367,1,0,1,1800,1224,1945,1,A,638000,2016-09-29
4,JACKSON HEIGHTS,1,1400,B,11369,2,0,2,2400,2172,1930,1,B,1210000,2017-08-18
4,RICHMOND HILL,1,9572,B,11419,2,0,2,1905,1584,1915,1,B,530000,2016-11-14
3,GREENPOINT,1,2682,A,11222,1,0,1,2500,1656,1910,1,A,1820000,2017-03-27
3,SUNSET PARK,1,840,A,11220,1,0,1,4007,2180,1901,1,A,1300000,2017-05-12
2,MORRIS PARK/VAN NEST,1,4100,B,10461,2,0,2,2500,2200,1945,1,B,460000,2017-06-16
3,CANARSIE,1,8241,B,11236,2,0,2,2373,1368,1920,1,B,330000,2016-09-30
3,BEDFORD STUYVESANT,1,1802,B,11216,2,0,2,2000,2400,1899,1,B,1850000,2017-08-07
2,BEDFORD PARK/NORWOOD,1,3319,C,10468,3,0,3,3000,2988,1899,1,C,525000,2017-05-15
4,FLORAL PARK,1,8759,A,11004,1,0,1,4000,1100,1950,1,A,670000,2017-05-01
4,WHITESTONE,1,4650,B,11357,2,0,2,5000,2250,1920,1,B,1500000,2016-11-21
4,HOWARD BEACH,1,14244,B,11414,2,0,2,4000,2450,2008,1,B,720000,2017-08-25
5,MANOR HEIGHTS,1,801,B,10314,2,0,2,4840,1825,1970,1,B,75000,2017-03-08
3,BEDFORD STUYVESANT,2A,1829,C,11216,6,0,6,2000,3150,1900,2,C,1462500,2017-05-09
4,HAMMELS,1,16119,A,11693,1,0,1,2113,1340,2006,1,A,429000,2017-07-31
4,MIDDLE VILLAGE,1,3781,B,11379,2,0,2,1905,1880,1920,1,B,630000,2016-11-30
2,KINGSBRIDGE/JEROME PARK,1,3267,A,10463,1,0,1,2673,2292,1920,1,A,600000,2016-10-04
4,GLEN OAKS,1,8549,A,11040,1,0,1,5942,1031,1950,1,A,670000,2017-05-11
4,OZONE PARK,1,11349,A,11417,1,0,1,2150,1470,1940,1,A,440000,2017-08-07
3,BERGEN BEACH,1,8366,A,11234,1,0,1,2659,1616,1998,1,A,720000,2017-06-16
3,RED HOOK,1,577,B,11231,2,0,2,1933,2166,1899,1,B,2250000,2017-03-31
4,BAYSIDE,1,7355,A,11364,1,0,1,2380,1224,1960,1,A,700000,2016-10-21
3,EAST NEW YORK,1,4178,B,11208,2,0,2,2130,1130,1910,1,B,212000,2017-07-06
4,SO. JAMAICA-BAISLEY PARK,1,12201,A,11434,1,0,1,2300,1280,1920,1,A,363400,2017-06-08
2,COUNTRY CLUB,1,5411,A,10465,1,0,1,2800,1985,1965,1,A,498000,2017-05-25
4,FOREST HILLS,1,3187,A,11375,1,0,1,1942,1292,1940,1,A,1135000,2017-05-04
4,JAMAICA,1,9803,B,11432,2,0,2,1005,2424,2014,1,B,977520,2016-09-27
4,SO. JAMAICA-BAISLEY PARK,1,12370,A,11434,1,0,1,2073,946,1945,1,A,387821,2017-04-12
5,RICHMONDTOWN,1,4399,A,10306,1,0,1,4040,1092,1955,1,A,495000,2017-06-02
3,MARINE PARK,1,8537,A,11234,1,0,1,2250,1146,1920,1,A,490000,2017-03-27
5,ELTINGVILLE,1,5681,A,10312,1,0,1,2700,1280,1973,1,A,455000,2017-05-30
4,RIDGEWOOD,1,3618,B,11385,2,0,2,2000,1590,1925,1,B,650000,2016-09-19
2,BAYCHESTER,1,4755,B,10469,2,0,2,1920,2585,1970,1,B,515000,2017-01-24
3,PARK SLOPE,1,1074,B,11215,2,0,2,2000,4196,1901,1,B,3350000,2017-05-18
5,HUGUENOT,1,6314,B,10312,2,0,2,6000,2348,1978,1,B,195000,2017-04-05
4,CAMBRIA HEIGHTS,1,11280,A,11411,1,0,1,2200,1554,1940,1,A,355000,2017-08-21
3,EAST NEW YORK,1,4228,C,11208,3,0,3,1800,3144,1920,1,C,750000,2017-03-31
5,BULLS HEAD,1,1575,B,10314,2,0,2,4200,1800,1970,1,B,500000,2017-05-02
2,PELHAM GARDENS,1,4492,A,10469,1,0,1,2500,1944,1965,1,A,417500,2017-03-30
3,FLATBUSH-LEFFERTS GARDEN,2A,4796,C,11225,4,0,4,2750,3200,1931,2,C,70000,2016-09-13
3,MARINE PARK,1,7698,A,11234,1,0,1,2000,1472,1925,1,A,560000,2017-04-28
3,BUSHWICK,1,3440,B,11207,2,0,2,2000,2160,1910,1,B,830000,2017-03-24
4,ELMHURST,1,1855,B,11373,2,0,2,2502,2144,1930,1,B,840000,2016-10-03
4,ASTORIA,1,684,B,11103,2,0,2,2550,2136,1910,1,B,957155,2016-12-22
4,FAR ROCKAWAY,1,15817,B,11691,2,0,2,2450,525,1910,1,B,210000,2017-03-07
2,KINGSBRIDGE/JEROME PARK,1,3263,B,10463,2,0,2,2370,1920,1910,1,B,510500,2017-08-10
4,SOUTH JAMAICA,1,10149,A,11433,1,0,1,2500,1208,1910,1,A,274000,2016-10-21
2,BAYCHESTER,1,5273,A,10475,1,0,1,4755,1487,1959,1,A,337400,2016-09-06
4,JACKSON HEIGHTS,1,946,A,11370,1,0,1,4000,1175,1925,1,A,533333,2017-06-13
5,ANNADALE,1,6249,A,10312,1,0,1,5510,1302,1975,1,A,490000,2017-03-06
3,BUSHWICK,1,3294,B,11221,2,0,2,4709,3992,1901,1,B,1600000,2016-11-21
3,CROWN HEIGHTS,1,1394,C,11213,3,0,3,2412,3780,1901,1,C,1400000,2017-03-15
2,MORRIS PARK/VAN NEST,1,4100,A,10461,1,0,1,2500,1309,1910,1,A,400000,2016-10-12
3,GRAVESEND,1,7143,A,11223,1,0,1,665,952,1925,1,A,578000,2016-10-31
4,MASPETH,1,2372,B,11378,2,0,2,1900,1837,1940,1,B,839000,2016-12-15
3,BUSHWICK,1,3376,B,11221,2,0,2,1750,1839,1910,1,B,1290000,2017-05-04
5,PLEASANT PLAINS,1,6787,A,10309,1,0,1,9954,3540,1996,1,A,1475000,2016-09-07
5,MARINERS HARBOR,1,1246,A,10303,1,0,1,9000,926,1910,1,A,295000,2016-12-22
4,MIDDLE VILLAGE,1,2988,A,11379,1,0,1,1900,1480,1940,1,A,910000,2017-04-13
3,CROWN HEIGHTS,1,1262,B,11216,2,0,2,1700,2592,1901,1,B,1700000,2016-12-15
3,OCEAN HILL,1,3665,S,11207,2,1,3,1601,3300,1910,1,S,535000,2017-01-09
4,JACKSON HEIGHTS,1,1149,B,11370,2,0,2,2340,1900,1950,1,B,915000,2017-02-22
4,FRESH MEADOWS,1,7091,A,11365,1,0,1,4000,990,1950,1,A,810000,2017-01-27
3,MADISON,1,7320,B,11229,2,0,2,1626,1672,1930,1,B,550000,2016-12-22
4,MASPETH,1,2335,C,11377,3,0,3,2000,1925,1940,1,C,740000,2016-12-14
2,WAKEFIELD,2A,5048,C,10466,6,0,6,5000,3264,1931,2,C,726000,2016-12-29
2,WILLIAMSBRIDGE,2A,4667,C,10467,6,0,6,2862,4276,2008,2,C,2200000,2017-01-05
4,FLUSHING-NORTH,1,6402,A,11355,1,0,1,3750,1820,1940,1,A,950000,2016-12-28
4,SOUTH JAMAICA,1,10134,B,11433,2,0,2,2000,1155,1910,1,B,550000,2017-02-17
4,OZONE PARK,1,9060,B,11416,2,0,2,2200,1764,1930,1,B,522000,2016-12-29
4,QUEENS VILLAGE,1,11233,A,11429,1,0,1,3000,1260,1935,1,A,425250,2017-04-13
3,MADISON,1,6805,A,11229,1,0,1,2667,1305,1930,1,A,825000,2017-05-17
5,WESTERLEIGH,1,436,A,10314,1,0,1,6000,1370,1935,1,A,505000,2017-03-27
3,CROWN HEIGHTS,1,1348,B,11213,2,0,2,2300,2300,1900,1,B,675000,2017-02-27
4,LITTLE NECK,1,8345,B,11362,2,0,2,4488,3422,2012,1,B,1350000,2017-05-26
2,RIVERDALE,1,5884,A,10471,1,0,1,1750,1800,1930,1,A,720000,2016-12-09
4,SPRINGFIELD GARDENS,1,13348,A,11413,1,0,1,5226,1200,1950,1,A,34500,2017-02-28
4,COLLEGE POINT,1,4082,A,11356,1,0,1,2821,1360,1901,1,A,450000,2017-03-01
4,DOUGLASTON,1,8081,A,11363,1,0,1,5676,3224,1989,1,A,1186500,2016-10-25
5,TOTTENVILLE,1,7915,B,10307,2,0,2,7000,1418,1984,1,B,317000,2017-04-04
5,STAPLETON-CLIFTON,1,2873,A,10304,1,0,1,2497,1778,2015,1,A,405498,2016-09-16
4,FLUSHING-NORTH,1,5419,B,11358,2,0,2,4000,2180,1930,1,B,1250000,2017-06-26
3,BAY RIDGE,1,6138,A,11209,1,0,1,1295,1782,1940,1,A,917000,2016-10-28
2,PARKCHESTER,1,3937,B,10462,2,0,2,2243,2680,1930,1,B,618000,2016-12-29
4,RICHMOND HILL,1,9289,B,11418,2,0,2,1933,2200,1920,1,B,550000,2017-04-06
4,FLUSHING-NORTH,1,4917,A,11358,1,0,1,3800,1624,1940,1,A,552900,2016-11-29
5,OAKWOOD,1,4265,A,10306,1,0,1,6120,1008,1965,1,A,550000,2016-12-30
4,SUNNYSIDE,1,136,B,11104,2,0,2,2375,1500,1925,1,B,1095000,2017-07-06
4,FLUSHING-NORTH,1,5364,A,11358,1,0,1,6450,2020,1940,1,A,1100000,2017-08-18
4,LAURELTON,1,13114,B,11413,2,0,2,5000,1368,1930,1,B,219000,2016-09-16
4,ASTORIA,1,572,B,11102,2,0,2,1592,1769,1920,1,B,1100000,2016-11-18
3,BOROUGH PARK,1,5650,C,11219,3,0,3,2805,5008,1965,1,C,2600000,2017-07-03
4,HOWARD BEACH,1,14177,A,11414,1,0,1,4000,1470,1925,1,A,615000,2017-05-02
3,BENSONHURST,1,6204,S,11204,1,1,2,2012,2200,1931,1,S,1650000,2017-03-24
3,CROWN HEIGHTS,1,1304,B,11225,2,0,2,2500,2480,1925,1,B,356000,2017-06-01
3,DYKER HEIGHTS,1,5760,C,11219,3,0,3,2000,3107,1960,1,C,1350000,2017-08-24
3,FLATBUSH-EAST,1,7631,A,11210,1,0,1,2000,1360,1925,1,A,800000,2017-04-05
2,EAST TREMONT,2,3906,C,10460,15,0,15,2500,3000,1905,2,C,587500,2016-09-21
3,FLATBUSH-EAST,1,4765,B,11203,2,0,2,2580,1482,1935,1,B,705000,2017-01-09
3,DYKER HEIGHTS,1,5964,A,11228,1,0,1,1900,1456,1925,1,A,915000,2017-08-21
2,SOUNDVIEW,1,3461,A,10473,1,0,1,1925,1140,1899,1,A,458784,2017-06-12
4,CORONA,1,1942,C,11368,3,0,3,1921,1060,1920,1,C,475000,2017-04-04
2,BRONXDALE,1,4639,B,10469,2,0,2,2200,2398,1945,1,B,480000,2017-06-21
2,BAYCHESTER,1,4775,A,10469,1,0,1,2565,1584,1955,1,A,383250,2017-05-31
4,EAST ELMHURST,1,1701,B,11369,2,0,2,4000,1190,1940,1,B,1230000,2017-08-02
4,WHITESTONE,1,4454,A,11357,1,0,1,4500,1566,1955,1,A,995000,2017-07-13
3,PARK SLOPE,2B,954,C,11217,8,0,8,2000,3360,1920,2,C,2650000,2016-09-22
4,OZONE PARK,1,9174,B,11417,2,0,2,2975,2420,1920,1,B,750000,2017-07-11
2,CASTLE HILL/UNIONPORT,2A,3806,C,10472,4,0,4,2609,3403,1927,2,C,650000,2016-09-07
2,KINGSBRIDGE HTS/UNIV HTS,1,3230,B,10453,2,0,2,3563,2584,2002,1,B,500,2017-01-17
3,FLATBUSH-EAST,1,4949,B,11203,2,0,2,2973,1985,1910,1,B,15000,2016-12-17
5,LIVINGSTON,1,78,A,10310,1,0,1,4000,1178,1950,1,A,445000,2017-06-12
4,FLUSHING-NORTH,1,5325,A,11358,1,0,1,1512,960,1940,1,A,650000,2017-05-22
5,DONGAN HILLS,1,3329,A,10305,1,0,1,2461,1570,1996,1,A,538000,2017-05-05
3,MIDWOOD,1,6745,A,11230,1,0,1,1876,1620,1910,1,A,875000,2017-06-14
3,CARROLL GARDENS,1,474,B,11231,2,0,2,2000,2220,1899,1,B,3050000,2017-08-18
3,OCEAN HILL,1,1534,C,11233,3,0,3,1935,2700,1899,1,C,5000,2017-01-12
3,BAY RIDGE,1,5942,B,11209,2,0,2,3000,2028,1920,1,B,850000,2017-06-14
3,MADISON,1,7328,B,11229,2,0,2,2700,2720,1930,1,B,450500,2016-09-30
4,WOODSIDE,1,1191,B,11377,2,0,2,2000,1320,1930,1,B,915000,2017-07-28
4,ST. ALBANS,1,10935,A,11412,1,0,1,4217,1132,1920,1,A,537500,2017-06-09
3,PROSPECT HEIGHTS,1,1143,B,11217,2,0,2,3092,4200,1916,1,B,1985000,2017-02-14
3,DYKER HEIGHTS,1,6199,C,11228,3,0,3,2000,2260,1915,1,C,950000,2016-10-27
4,LAURELTON,1,13166,A,11413,1,0,1,3142,1316,1930,1,A,395000,2017-02-07
2,BRONXDALE,1,4512,C,10467,3,0,3,5000,3397,1925,1,C,660000,2017-01-24
5,NEW DORP,1,3621,S,10306,1,1,2,5300,1664,1930,1,S,560000,2017-06-08
4,ASTORIA,2A,516,C,11102,5,0,5,4369,3696,1915,2,C,365000,2017-05-26
3,BOROUGH PARK,1,5515,C,11204,3,0,3,2496,2520,1925,1,C,1500000,2017-03-01
4,FOREST HILLS,1,3302,A,11375,1,0,1,6270,2785,1920,1,A,1950000,2017-08-10
3,EAST NEW YORK,1,4497,B,11208,2,0,2,2000,1900,1930,1,B,350000,2017-03-24
4,ELMHURST,1,2481,A,11378,1,0,1,2185,1683,1940,1,A,785000,2016-09-02
3,EAST NEW YORK,1,4234,B,11208,2,0,2,2325,1672,1930,1,B,425880,2017-04-10
4,KEW GARDENS,1,9242,A,11415,1,0,1,5766,2858,1920,1,A,925000,2016-10-06
4,WOODHAVEN,1,8863,A,11421,1,0,1,1689,1256,1901,1,A,455000,2017-03-13
4,FLUSHING-NORTH,1,5246,A,11358,1,0,1,8000,3984,1930,1,A,1600000,2016-12-30
4,COLLEGE POINT,1,3933,A,11356,1,0,1,2000,1480,1950,1,A,625000,2016-09-12
4,QUEENS VILLAGE,1,10672,C,11427,3,0,3,2842,1780,1960,1,C,800000,2016-09-01
3,COBBLE HILL,1,326,A,11231,1,0,1,1334,2086,1901,1,A,3950000,2016-11-30
4,CAMBRIA HEIGHTS,1,11322,B,11411,2,0,2,4000,1848,1930,1,B,10000,2017-04-12
